date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2021-03-23 18:30:00+00:00,81.0,31.7215,23.521502,37.354755,27.246042,0,0,43692.08,38908.45,9.2,9.35,7.7000003,0.099999905,7.6,0.0,7.0,,20.633371,25.56,274.79672,22.13,4.665484
2021-03-24 18:30:00+00:00,51.0,30.1215,23.1215,33.496666,26.52286,0,0,43714.96,27304.06,6.25,9.35,0.1,0.0,0.1,0.0,1.0,,19.469976,19.08,111.58987,11.92,2.8550868
2021-03-25 18:30:00+00:00,80.0,31.2215,23.4715,36.459106,26.517534,0,0,43737.76,35690.484,9.1,9.4,3.3,0.0,3.3,0.0,4.0,,21.9718,18.72,232.87755,20.15,4.348031
2021-03-26 18:30:00+00:00,81.0,31.921501,23.771502,36.892056,26.613302,0,0,43760.457,34255.625,8.65,9.4,12.600001,4.8,7.8,0.0,8.0,,21.746502,18.0,218.92758,20.26,4.429777
2021-03-27 18:30:00+00:00,53.0,31.7215,23.1215,36.682762,24.374025,0,0,43783.035,39436.324,8.6,9.35,1.1,0.0,1.1,0.0,2.0,,21.53089,35.28,146.30992,24.19,5.269131
2021-03-28 18:30:00+00:00,81.0,30.6215,22.6215,36.15647,25.642902,0,0,43805.496,40869.316,9.35,9.35,16.3,0.10000014,16.199999,0.0,7.0,,21.42227,20.880001,228.21814,26.58,5.474088
2021-03-29 18:30:00+00:00,80.0,30.8215,23.521502,36.687016,26.992693,0,0,43827.97,31562.39,8.9,9.35,3.3,1.9999998,1.3000001,0.0,4.0,,16.179985,15.119999,186.42879,16.74,3.7029948
2021-03-30 18:30:00+00:00,51.0,31.6215,24.521502,36.80769,28.554039,0,0,43850.51,40886.344,9.35,9.35,0.2,0.0,0.2,0.0,2.0,,20.724247,17.64,220.50435,23.8,5.164915
2021-03-31 18:30:00+00:00,80.0,31.521502,25.2215,36.511234,29.985874,0,0,43873.105,40668.414,9.3,9.3,2.5,0.0,2.5,0.0,5.0,,21.03152,20.519999,230.85442,26.02,5.5711627
2021-04-01 18:30:00+00:00,53.0,31.2215,25.3215,36.79198,29.833374,0,0,43895.74,40630.582,9.1,9.25,3.8,0.0,3.8,0.0,13.0,,22.59699,22.68,233.5858,25.12,5.233211
2021-04-02 18:30:00+00:00,51.0,30.521502,26.0715,35.258728,29.63573,0,0,43918.395,40776.316,8.75,9.3,0.1,0.0,0.1,0.0,1.0,,19.443333,18.72,250.75598,25.6,5.5137997
